EmpID,Date,ExpectedTasks,AchievedTasks
E017,2025-04-25,65,68
E017,2025-04-26,59,69
E017,2025-04-27,57,72
E017,2025-04-28,62,78
E017,2025-04-29,62,78
E017,2025-04-30,57,68
E017,2025-05-01,64,70
E019,2025-04-25,65,87
E019,2025-04-26,69,85
E019,2025-04-27,68,80
E019,2025-04-28,62,89
E019,2025-04-29,72,81
E019,2025-04-30,72,89
E019,2025-05-01,72,80
E007,2025-04-25,72,91
E007,2025-04-26,75,87
E007,2025-04-27,71,85
E007,2025-04-28,71,88
E007,2025-04-29,79,93
E007,2025-04-30,73,84
E007,2025-05-01,71,88
E005,2025-04-25,78,86
E005,2025-04-26,77,85
E005,2025-04-27,75,90
E005,2025-04-28,79,89
E005,2025-04-29,73,89
E005,2025-04-30,78,85
E005,2025-05-01,79,86
E014,2025-04-25,75,89
E014,2025-04-26,79,88
E014,2025-04-27,84,88
E014,2025-04-28,75,88
E014,2025-04-29,75,88
E014,2025-04-30,81,86
E014,2025-05-01,81,84
E002,2025-04-25,89,88
E002,2025-04-26,89,83
E002,2025-04-27,88,89
E002,2025-04-28,79,83
E002,2025-04-29,81,85
E002,2025-04-30,86,90
E002,2025-05-01,89,84
E016,2025-04-25,67,69
E016,2025-04-26,65,66
E016,2025-04-27,75,69
E016,2025-04-28,66,66
E016,2025-04-29,75,71
E016,2025-04-30,65,76
E016,2025-05-01,69,71
E020,2025-04-25,67,71
E020,2025-04-26,76,73
E020,2025-04-27,70,70
E020,2025-04-28,75,71
E020,2025-04-29,71,68
E020,2025-04-30,77,66
E020,2025-05-01,69,75
E015,2025-04-25,80,78
E015,2025-04-26,75,82
E015,2025-04-27,81,80
E015,2025-04-28,75,80
E015,2025-04-29,74,80
E015,2025-04-30,80,78
E015,2025-05-01,76,77
E009,2025-04-25,66,64
E009,2025-04-26,64,73
E009,2025-04-27,66,65
E009,2025-04-28,72,68
E009,2025-04-29,71,67
E009,2025-04-30,71,69
E009,2025-05-01,67,66
E003,2025-04-25,81,78
E003,2025-04-26,77,76
E003,2025-04-27,79,73
E003,2025-04-28,76,77
E003,2025-04-29,75,72
E003,2025-04-30,79,72
E003,2025-05-01,79,72
E004,2025-04-25,67,52
E004,2025-04-26,64,49
E004,2025-04-27,71,48
E004,2025-04-28,64,49
E004,2025-04-29,71,58
E004,2025-04-30,66,58
E004,2025-05-01,61,58
E001,2025-04-25,79,72
E001,2025-04-26,75,71
E001,2025-04-27,80,70
E001,2025-04-28,74,71
E001,2025-04-29,70,64
E001,2025-04-30,79,67
E001,2025-05-01,74,72
E013,2025-04-25,73,64
E013,2025-04-26,68,65
E013,2025-04-27,70,65
E013,2025-04-28,74,69
E013,2025-04-29,73,70
E013,2025-04-30,72,66
E013,2025-05-01,70,63
E010,2025-04-25,86,75
E010,2025-04-26,78,76
E010,2025-04-27,82,75
E010,2025-04-28,85,69
E010,2025-04-29,77,75
E010,2025-04-30,82,68
E010,2025-05-01,86,67
E006,2025-04-25,75,48
E006,2025-04-26,75,57
E006,2025-04-27,67,49
E006,2025-04-28,70,50
E006,2025-04-29,67,55
E006,2025-04-30,70,50
E006,2025-05-01,70,54
E011,2025-04-25,61,46
E011,2025-04-26,62,49
E011,2025-04-27,61,40
E011,2025-04-28,62,47
E011,2025-04-29,64,43
E011,2025-04-30,64,42
E011,2025-05-01,65,47
E008,2025-04-25,60,48
E008,2025-04-26,59,41
E008,2025-04-27,60,48
E008,2025-04-28,56,41
E008,2025-04-29,59,43
E008,2025-04-30,61,47
E008,2025-05-01,59,48
E012,2025-04-25,70,62
E012,2025-04-26,63,63
E012,2025-04-27,71,65
E012,2025-04-28,65,60
E012,2025-04-29,67,65
E012,2025-04-30,64,62
E012,2025-05-01,68,61
E018,2025-04-25,66,62
E018,2025-04-26,70,61
E018,2025-04-27,71,63
E018,2025-04-28,63,63
E018,2025-04-29,69,57
E018,2025-04-30,67,63
E018,2025-05-01,62,63
