EmpID,Date,ExpectedTasks,AchievedTasks
E017,2025-05-02,61,72
E017,2025-05-03,56,70
E017,2025-05-04,65,72
E017,2025-05-05,60,73
E017,2025-05-06,57,70
E017,2025-05-07,59,74
E017,2025-05-08,58,73
E019,2025-05-02,70,82
E019,2025-05-03,69,82
E019,2025-05-04,64,88
E019,2025-05-05,63,85
E019,2025-05-06,63,89
E019,2025-05-07,68,89
E019,2025-05-08,71,83
E007,2025-05-02,75,87
E007,2025-05-03,71,92
E007,2025-05-04,76,88
E007,2025-05-05,78,88
E007,2025-05-06,75,91
E007,2025-05-07,71,88
E007,2025-05-08,78,90
E005,2025-05-02,79,84
E005,2025-05-03,74,80
E005,2025-05-04,72,82
E005,2025-05-05,73,87
E005,2025-05-06,76,83
E005,2025-05-07,76,81
E005,2025-05-08,78,90
E014,2025-05-02,75,86
E014,2025-05-03,84,83
E014,2025-05-04,78,86
E014,2025-05-05,81,91
E014,2025-05-06,82,82
E014,2025-05-07,82,82
E014,2025-05-08,77,85
E002,2025-05-02,80,88
E002,2025-05-03,85,90
E002,2025-05-04,88,88
E002,2025-05-05,85,87
E002,2025-05-06,82,86
E002,2025-05-07,79,86
E002,2025-05-08,83,83
E016,2025-05-02,67,72
E016,2025-05-03,66,66
E016,2025-05-04,67,71
E016,2025-05-05,75,68
E016,2025-05-06,74,72
E016,2025-05-07,70,73
E016,2025-05-08,65,71
E020,2025-05-02,74,70
E020,2025-05-03,76,74
E020,2025-05-04,77,73
E020,2025-05-05,69,71
E020,2025-05-06,68,69
E020,2025-05-07,72,68
E020,2025-05-08,73,73
E015,2025-05-02,82,79
E015,2025-05-03,75,77
E015,2025-05-04,78,77
E015,2025-05-05,74,87
E015,2025-05-06,76,79
E015,2025-05-07,75,80
E015,2025-05-08,79,83
E009,2025-05-02,68,68
E009,2025-05-03,73,68
E009,2025-05-04,69,74
E009,2025-05-05,69,68
E009,2025-05-06,64,72
E009,2025-05-07,67,64
E009,2025-05-08,71,72
E003,2025-05-02,81,78
E003,2025-05-03,78,71
E003,2025-05-04,82,71
E003,2025-05-05,75,70
E003,2025-05-06,77,78
E003,2025-05-07,84,70
E003,2025-05-08,80,70
E004,2025-05-02,66,55
E004,2025-05-03,67,49
E004,2025-05-04,62,56
E004,2025-05-05,61,54
E004,2025-05-06,70,55
E004,2025-05-07,71,56
E004,2025-05-08,66,50
E001,2025-05-02,74,70
E001,2025-05-03,71,66
E001,2025-05-04,76,67
E001,2025-05-05,76,71
E001,2025-05-06,70,74
E001,2025-05-07,77,71
E001,2025-05-08,76,64
E013,2025-05-02,72,64
E013,2025-05-03,69,62
E013,2025-05-04,70,65
E013,2025-05-05,76,67
E013,2025-05-06,78,70
E013,2025-05-07,71,68
E013,2025-05-08,69,62
E010,2025-05-02,82,73
E010,2025-05-03,84,67
E010,2025-05-04,81,73
E010,2025-05-05,78,71
E010,2025-05-06,87,74
E010,2025-05-07,77,75
E010,2025-05-08,82,70
E006,2025-05-02,70,56
E006,2025-05-03,69,54
E006,2025-05-04,73,50
E006,2025-05-05,76,51
E006,2025-05-06,72,48
E006,2025-05-07,71,52
E006,2025-05-08,66,55
E011,2025-05-02,63,50
E011,2025-05-03,64,48
E011,2025-05-04,65,45
E011,2025-05-05,63,49
E011,2025-05-06,65,40
E011,2025-05-07,62,44
E011,2025-05-08,66,45
E008,2025-05-02,58,44
E008,2025-05-03,55,42
E008,2025-05-04,60,43
E008,2025-05-05,59,41
E008,2025-05-06,57,44
E008,2025-05-07,64,46
E008,2025-05-08,56,39
E012,2025-05-02,73,61
E012,2025-05-03,71,56
E012,2025-05-04,72,57
E012,2025-05-05,68,64
E012,2025-05-06,69,55
E012,2025-05-07,67,59
E012,2025-05-08,73,64
E018,2025-05-02,72,54
E018,2025-05-03,62,54
E018,2025-05-04,70,61
E018,2025-05-05,72,56
E018,2025-05-06,63,53
E018,2025-05-07,66,60
E018,2025-05-08,72,62
